מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,CF230A,"טונר שחור HP 30A CF230A 1.6K",1,05/08/2020,450409,"מוצר פגום"
2,SU027A,"טונר סמסונג כחול CLT-C504S 1.8K SU027A",1,28/08/19,430792,"מוצר פגום"
3,HP645,"ראש דיו שחור HP 45 51645AE",3,12/07/20,448864,"מוצר פגום"
