מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",6,04/08/2020,111111,"מוצר פגום"
2,F6U16AE,"ראש דיו כחול HP 953XL F6U16AE",1,02/08/2020,111111,"מוצר פגום"
3,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,09/08/2020,111111,"מוצר פגום"
4,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",2,10/08/2020,111111,"מוצר פגום"
5,F6V16AE,"ראש דיו צבעוני HP 123 F6V16AE",1,15/07/2020,111111,"מוצר פגום"
6,HP653,"ראש דיו שחור HP 901 CC653AE",1,24/06/2020,111111,"מוצר פגום"
7,HP109Z,"ראש דיו שחור HP 655 CZ109AE",1,19/05/2020,111111,"מוצר פגום"
8,HP048AE,"ראש דיו צהוב HP 951XL CN048AE",1,16/04/2020,111111,"מוצר פגום"
9,T6M11AE,"ראש דיו צהוב HP 903XL T6M11AE",1,05/05/2020,111111,"מוצר פגום"
10,PG545XL,"ראש דיו קנון שחור CANON PG545XL 0.4K",3,22/06/2020,111111,"מוצר פגום"
11,CA40,"ראש דיו קנון שחור CANON PG40",1,18/06/2020,111111,"מוצר פגום"
12,HP55AE,"ראש דיו אדום HP 933XL  CN055AE",1,19/05/2020,111111,"מוצר פגום"
13,HP656A,"ראש דיו צבעוני HP 901 CC656AE",1,28/04/2020,111111,"מוצר פגום"
14,CA41,"ראש דיו קנון צבע CANON CL41",1,20/05/2020,111111,"מוצר פגום"
15,BR100C,"ראש דיו ברדר כחול BROTHER  LC1100C 0.325K",1,03/08/2020,111111,"מוצר פגום"
