מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,C7977A,"קלטת גיבוי HP LTO-7 C7977A 15TB",10,20/07/2020,449360,"הזמנה בוטלה ע""י לקוח"
2,,,,,,
3,SU027A,"טונר סמסונג כחול CLT-C504S 1.8K SU027A",1,08/06/2020,446717,"מוצר פגום"
