מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,SU768A,"טונר סמסונג שחור MLT-D105L 2.5K SU768A",1,10/06/2020,446855,"מוצר פגום"
2,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",1,10/11/2020,456069,"מוצר פגום"
3,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,02/11/2020,455470,"מוצר פגום"
4,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",1,02/11/2020,446855,"מוצר פגום"
5,L0S70AE,"ראש דיו שחור HP 953XL L0S70AE",1,17/08/2019,450972,"מוצר פגום"
6,HP210,"טונר שחור HP 131A CF210A 1.6K",1,10/06/2020,446855,"מוצר פגום"
