מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,,,,,,
2,,,,,,
3,HPF400X,"טונר שחור HP 201X CF400X 2.8K",1,22/09/2020,365992,"מוצר פגום"
4,,,,,,
5,,,,,,
6,HPF401X,"טונר כחול HP 201X CF401X 2.3K",1,03/12/2020,372208,"מוצר פגום"
7,HPF401X,"טונר כחול HP 201X CF401X 2.3K",1,03/12/2020,372208,"מוצר פגום"
8,HPF401X,"טונר כחול HP 201X CF401X 2.3K",1,03/12/2020,372208,"מוצר פגום"
9,SU899A,"טונר סמסונג שחור MLT-D203L 3870 5K SU899",1,29/03/2020,406700,"מוצר פגום"
10,HP285,"טונר שחור HP 85A CE285A 1.6K",1,22/09/2020,365951,"מוצר פגום"
11,CF530A,"טונר שחור HP 205A CF530A 1.1K",1,15/11/2020,370291,"מוצר פגום"
12,CF217A,"טונר שחור HP 17A CF217A 1.6K",,03/12/2020,423639,"מוצר פגום"
13,CF540A,"טונר שחור HP 203A CF540A 1.4K",1,21/09/2020,417584,"מוצר פגום"
14,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,03/11/2020,369121,"מוצר פגום"
