מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,SU563A,"טונר סמסונג צהוב CLT-Y609S 7K SU563A",1,04/01/2021,000000,"מוצר פגום"
2,,,,,,
3,SU086A,"טונר סמסונג כחול CLT-C609S 7K SU086A",1,04/01/2021,000000,"מוצר פגום"
4,SU220A,"טונר סמסונג שחור CLT-K609S 7K SU220A",1,04/01/2021,000000,"מוצר פגום"
5,SU899A,"טונר סמסונג שחור MLT-D203L 3870 5K SU899",1,04/01/2021,000000,"מוצר פגום"
