מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,T6M07AE,"ראש דיו אדום HP 903XL T6M07AE",1,25/05/2020,120425,"מוצר פגום"
2,,,,,,
3,T6M11AE,"ראש דיו צהוב HP 903XL T6M11AE",1,25/05/2020,120425,"מוצר פגום"
4,T6M03AE,"ראש דיו כחול HP 903XL T6M03AE",1,25/05/2020,120425,"מוצר פגום"
