מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,SU294A,"טונר סמסונג אדום CLT-M504S 1.8K SU294A",3,16/12/2020,111212,"מוצר פגום"
2,,"אימג’ינג יוניט סמסונג MLT-R307 SV154A",4,16/12/2020,111212,"מוצר פגום"
3,SU965A,"טונר סמסונג שחור MLT-D205L 5K SU965A",1,16/12/2020,111212,"מוצר פגום"
4,SU517A,"טונר סמסונג צהוב CLT-Y506L 3.5K SU517A",1,16/12/2020,111212,"מוצר פגום"
