מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,C2P22AE,"ראש דיו צהוב HP 935 C2P22AE",1,06/07/2020,448510,"מוצר פגום"
2,C2P25AE,"ראש דיו אדום HP 935XL C2P25AE",1,06/07/2020,448510,"מוצר פגום"
3,,,,,,
4,C2P24AE,"ראש דיו כחול HP 935XL C2P24AE",1,06/07/2020,448510,"מוצר פגום"
