מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",2,10/11/2020,123456,"מוצר פגום"
2,HPF6V24AE,"ראש דיו צבעוני HP 652 F6V24AE",4,10/11/2020,123456,"מוצר פגום"
3,C2P25AE,"ראש דיו אדום HP 935XL C2P25AE",1,03/11/2020,123456,"מוצר פגום"
4,F6V16AE,"ראש דיו צבעוני HP 123 F6V16AE",1,18/11/2020,123456,"מוצר פגום"
5,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",1,13/10/2020,123456,"מוצר פגום"
6,CE410XC,"טונר שחור HP 305X CE410XC 4K",1,07/09/2020,123456,"מוצר פגום"
