מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",2,01/10/2020,111111,"מוצר פגום"
2,,,,,,
3,HPF6V24AE,"ראש דיו צבעוני HP 652 F6V24AE",2,21/10/2020,111111,"מוצר פגום"
4,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",1,20/10/2020,111111,"מוצר פגום"
5,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,07/10/2020,111111,"מוצר פגום"
6,HP112Z,"ראש דיו צהוב HP 655 CZ112AE",1,29/09/2020,111111,"מוצר פגום"
7,HP045AE,"ראש דיו שחור HP 950XL",1,02/09/2020,111111,"מוצר פגום"
