מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HP280X,"טונר שחור HP 80X CF280X 6.9K",2,30/09/2020,453482,"הזמנה בוטלה ע""י לקוח"
2,HP53AE,"ראש דיו שחור HP 932XL CN053AE",1,07/07/2020,448673,"דילול מלאי"
3,HP54AE,"ראש דיו כחול HP 933XL  CN054AE",1,08/07/2020,448673,"דילול מלאי"
4,,,,,,
5,HP55AE,"ראש דיו אדום HP 933XL  CN055AE",1,08/07/2020,448673,"דילול מלאי"
6,,,,,,
7,HP56AE,"ראש דיו צהוב HP 933XL  CN056AE",1,08/07/2020,448673,"דילול מלאי"
