מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",1,05/05/2020,444664,"מוצר פגום"
2,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,05/05/2020,444664,"מוצר פגום"
3,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",4,05/05/2020,444664,"מוצר פגום"
4,T6M19AE,"ראש דיו שחור HP 907XL T6M19AE",1,07/05/2020,444887,"מוצר פגום"
5,HPF6V19AE,"ראש דיו שחור HP 123XL F6V19AE",1,01/03/2020,442315,"מוצר פגום"
