מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,HPF6V24AE,"ראש דיו צבעוני HP 652 F6V24AE",1,05/11/2020,999999,"מוצר פגום"
2,CA540X,"ראש דיו קנון שחור CANON PG540XL",1,5/11/20,999999,"מוצר פגום"
3,CA513,"ראש דיו קנון צבע CANON CL513 0.35K",1,05/11/2020,999999,"מוצר פגום"
4,HP270,"טונר שחור HP 650A CE270A 13.5K",1,05/11/2020,999999,"מוצר פגום"
5,HP643,"ראש דיו צבעוני HP 121 CC643HE",1,05/11/2020,999999,"מוצר פגום"
