שורה,מקט,"שם מוצר",מחיר,כמות
1,,"ENTERPRISE WF-C17590D4TWF",14900,1
2,C11CH88401,"Epson WorkForce Enterprise WF-C21000",15900,1
3,,"אימג'ינג יוניט סמסונג 100K  MLT-R303 SV1",545,1
