שורה,מקט,"שם מוצר",מחיר,כמות
1,008R13061,"XEROX 008R13061 44K 78XX מיכל עודפים זירוקס סד",240,1
2,,"אימג'ינג יוניט סמסונג CLT-R406 SU403A",374,1
